,city,community,latitude,longitude,type,price,address,beds,sq_feet,baths,cats,dogs,utilities_included
3029,Calgary,Killarney,51.0357536,-114.1359045,Duplex,2150,B - 2013 33 Street Southwest,2,800,1,0,0,['']
3030,Calgary,Douglasdale,50.9416864,-113.9875855,Main Floor,2100,,3,1372,2,0,0,['See Full Description']
3031,Calgary,Crescent Heights,51.0530991,-114.0538605,Condo Unit,2100,431 1 Ave NE,2,700,1,2,0,"['Heat', 'Electricity', 'Water']"
3032,Calgary,Penbrooke Meadows,51.0514193,-113.9502247,Main Floor,2200,304 Penworth Drive Southeast,3,1000,1,0,0,['See Full Description']
3033,Calgary,Skyview,51.1642158,-113.9614729,Condo Unit,2150,3104 - 60 Skyview Ranch Rd NE,2,975,2,2,2,"['Heat', 'Water']"
3034,Calgary,Mahogany,50.8985219,-113.9381698,Condo Unit,2195,11 Mahogany Row SE,2,797,2,0,0,"['Water', 'Heat']"
3035,Calgary,Shawnessy,50.9132293,-114.0787903,House,2200,83 Shawcliffe Circle Southwest,3,1200,2,2,2,['See Full Description']
3036,Calgary,Rundle,51.0776647,-113.9615039,Main Floor,2200,135 Rundleview Drive Northeast,3+den,1350,1,0,0,['See Full Description']
3037,Calgary,Downtown,51.0491572,-114.0822146,Condo Unit,2150,1004 - 920 5 Avenue Southwest,2,,2,0,0,"['Heat', 'Water', '']"
3038,Calgary,Capitol Hill,51.0740414,-114.095617,Duplex,2200,,3,1000,2,2,2,['']
3039,Calgary,Hotchkiss,50.9173718,-113.8965156,Main Floor,2195,Hotchkiss Ln,3+den,,2.5,0,0,['']
3040,Calgary,Penbrooke Meadows,51.0442689,-113.9554484,Townhouse,2100,324 - 5404 10 Avenue Southeast,3,,1,2,2,['']
3041,Calgary,Beltline,51.0404359,-114.089408,Condo Unit,2100,1208 14 Ave SW,2,875,1,0,0,"['Heat', 'Water']"
3042,Calgary,Mckenzie Towne,50.9277011,-113.9600003,Condo Unit,2200,10 Prestwick Bay Southeast,2,,2,2,2,['Heat']
3043,Calgary,Silverado,50.88697946,-114.0815961,Townhouse,2100,,3,1350,2.5,0,0,['']
3044,Calgary,Bridgeland,51.05273963,-114.0395169,Condo Unit,2200,306 - 38 9 Street NE,2,897,2,2,2,"['Heat', 'Water']"
3045,Calgary,Windsor Park,51.00721003,-114.0727024,Condo Unit,2155,525-56 Ave SW,2,1000,2,0,0,"['Heat', 'Water', '']"
3046,Calgary,Redstone,51.1734687,-113.9622501,House,2150,32 Redstone Avenue Northeast,3,1450,2.5,0,0,['']
3047,Calgary,Saddle Ridge,51.1261451,-113.946228,Condo Unit,2200,,2,,2,0,0,"['Internet', 'Heat', 'Water']"
3048,Calgary,South Calgary,51.0302847,-114.0960032,Condo Unit,2100,308 - 1521 26 Avenue Southwest,2,521,1,2,2,"['Heat', 'Water']"
3049,Calgary,Beltline,51.0386055,-114.0736781,Apartment,2200,113 527 15 Ave Sw,2,833,1,0,0,"['Heat', 'Water']"
3050,Calgary,Redstone,51.1668161,-113.9578835,Townhouse,2200,140 Red Embers Gate Northeast,2,1087,2.5,0,0,['']
3051,Calgary,Brentwood,51.0866651,-114.1294255,Condo Unit,2230,18th  floor - 3830 Brentwood Road NW,2,620,1,0,0,"['', 'Heat', 'Water', 'See Full Description']"
3052,Calgary,Capitol Hill,51.0672244,-114.0965029,Apartment,2119,1528 16 Avenue NW,2,749,1,2,2,"['Water', 'Heat']"
3053,Calgary,Bankview,51.030624,-114.1009326,Apartment,2200,1732 26 Avenue Southwest,2,714,2,2,0,"['See Full Description', 'Water', 'Heat']"
3054,Calgary,Silver Springs,51.1094495,-114.2102017,Townhouse,2150,,3,1323,2.5,2,2,['See Full Description']
3055,Calgary,Saddle Ridge,51.1154167,-113.9649807,Apartment,2100,"5, Saddlestone Way,NE",2,814,2,0,0,"['Heat', 'Water', 'See Full Description', ' ', 'Electricity']"
3056,Calgary,Skyview,51.1642158,-113.9614729,Condo Unit,2100,2603 - 60 Skyview Ranch Rd NE,2,778,2,2,2,"['Heat', 'Water']"
3057,Calgary,Skyview,51.1642158,-113.9614729,Apartment,2150,60 Skyview Ranch Rd NE,2+den,1101,2,2,2,"['Water', 'Heat']"
3058,Calgary,Varsity,51.0925468,-114.1525492,Condo Unit,2150,302 - 4603 Varsity Dr NW,1,772,1.5,0,0,"['Heat', 'Electricity', 'Water']"
3059,Calgary,Skyview,51.1642158,-113.9614729,Condo Unit,2100,3501 - 60 Skyview Ranch Rd NE,2+den,1150,2,0,0,"['Heat', 'Water']"
3060,Calgary,Arbour Lake,51.15957548,-114.3085625,Condo Unit,2200,318 - 88 Arbour Lake Road Northwest,2,1064.7,2,0,0,"['Heat', 'Water']"
3061,Calgary,Rosscarrock,51.0421552,-114.1500878,Main Floor,2200,,3,1100,1,2,2,['']
3062,Calgary,Downtown,51.047136,-114.0584943,Condo Unit,2200,245 6 Avenue Southeast,2,760,1,2,2,"['Heat', 'Electricity', 'Water']"
3063,Calgary,Cityscape,51.1504895,-113.9525169,Condo Unit,2200,395 Skyview Parkway Northeast,3,894,2,0,0,"['Heat', 'Water']"
3064,Calgary,Seton,50.8777212,-113.9527732,Condo Unit,2100,2206 - 19489 Main Street Southeast,2,850,2,2,2,"['Water', 'See Full Description']"
3065,Calgary,Victoria Park,51.0392969,-114.0626447,Condo Unit,2245,111 14 Ave SE,2,935,1,2,2,"['Heat', 'Electricity', 'Water', '']"
3066,Calgary,Erin Woods,51.01473701,-113.961967,Main Floor,2150,,3,1650,2.5,0,0,['See Full Description']
3067,Calgary,Beltline,51.041047,-114.0745879,Apartment,2200,1215 5 Street Southwest,2,752,2,2,2,"['Heat', 'Water']"
3068,Calgary,Harvest Hills,51.1467546,-114.0437481,House,2100,,3,1640,2.5,0,0,['See Full Description']
3069,Calgary,Skyview,51.1642158,-113.9614729,Condo Unit,2100,2612 - 60 Skyview Ranch Rd NE,2,778,2,2,2,"['Heat', 'Water']"
3070,Calgary,Nolan Hill,51.1685204,-114.15635,Apartment,2150,100 Nolan Hill Rise NW,2,987,2,2,2,['']
3071,Calgary,Hillhurst,51.0598955,-114.0979154,Condo Unit,2100,1616 8 Ave NW,2,900,1,0,0,"['Heat', 'Electricity', 'Water']"
3072,Calgary,Rocky Ridge,51.1415117,-114.2483141,Condo Unit,2200,1 - 169 Rockyledge View NW,1,777,1,2,2,"['Internet', 'Water', 'Electricity', 'Heat']"
3073,Calgary,Panorama Hills,51.15479,-114.07188,Condo Unit,2200,3204 - 70 Panamount Dr NW,2+den,832,2,0,0,"['Heat', 'Electricity', 'Water', 'See Full Description']"
